category,product_name,product_url,image_url
"152-01","PROFİTEROLL&#220; NO 1","https://toptanpastacim.com/product/152-01-00035/profiterollu-no-1/152-01","https://toptanpastacim.com/Resimler/e074228c-2b0d-4289-bbd7-62e6672849af.JPG"
"152-01","PROFİTEROLL&#220; NO 2","https://toptanpastacim.com/product/152-01-00036/profiterollu-no-2/152-01","https://toptanpastacim.com/Resimler/c47c00f2-500b-486c-b503-c507d84c7318.JPG"
"152-02","BABAROVSKİ","https://toptanpastacim.com/product/152-02-00001/babarovski/152-02","https://toptanpastacim.com/Resimler/5bbbb748-4dea-405d-9ffa-8a6260762461.jpg"
"152-02","BAMBU FRAMBUAZ","https://toptanpastacim.com/product/152-02-00003/bambu-frambuaz/152-02","https://toptanpastacim.com/Resimler/775a78ce-2d75-47bb-a211-384d980f6821.jpg"
"152-02","MOİS","https://toptanpastacim.com/product/152-02-00008/mois/152-02","https://toptanpastacim.com/Resimler/9fd51b41-3adb-4f8d-8062-5c14d83327e3.jpg"
"152-02","MONO &#199;İKOLATA","https://toptanpastacim.com/product/152-02-00009/mono-cikolata/152-02","https://toptanpastacim.com/Resimler/5051702c-8aac-44d2-9c3c-5e94451f3c3e.jpg"
"152-02","MONO DUBAİ","https://toptanpastacim.com/product/152-02-00027/mono-dubai/152-02","https://toptanpastacim.com/Resimler/f22e9cb6-0e4a-4be5-be08-b731fe181ae0.jpeg"
"152-02","MONO PEMBE","https://toptanpastacim.com/product/152-02-00016/mono-pembe/152-02","https://toptanpastacim.com/Resimler/0fb9ad2b-f55d-4522-aa64-7c36801d6260.jpg"
"152-02","RED VELVED","https://toptanpastacim.com/product/152-02-00011/red-velved/152-02","https://toptanpastacim.com/Resimler/f22ca023-a123-4a61-a785-61df99e8d55c.jpg"
"152-02","SHOW FISTIK","https://toptanpastacim.com/product/152-02-00013/show-fistik/152-02","https://toptanpastacim.com/Resimler/f0bcc17f-fd82-483d-86a4-90f4fc953bfd.jpg"
"152-02","SHOW MEYVE","https://toptanpastacim.com/product/152-02-00019/show-meyve/152-02","https://toptanpastacim.com/Resimler/9e066031-2188-4da5-b889-0845e414140b.jpg"
"152-02","VOLKANİK","https://toptanpastacim.com/product/152-02-00015/volkanik/152-02","https://toptanpastacim.com/Resimler/2458142c-306b-4c73-86e9-e4f096023fba.jpg"
"152-03","EKLER &#199;İLEKLİ","https://toptanpastacim.com/product/152-03-00004/ekler-cilekli/152-03","https://toptanpastacim.com/Resimler/63a7029b-a64b-4401-9534-cdaa5ea3b91f.JPG"
"152-03","EKLER ANTEP FISTIK","https://toptanpastacim.com/product/152-03-00002/ekler-antep-fistik/152-03","https://toptanpastacim.com/Resimler/d2686106-cf66-4c7b-ad3d-8d4cbc4dcedc.JPG"
"152-03","EKLER FRAMBUAZLI","https://toptanpastacim.com/product/152-03-00005/ekler-frambuazli/152-03","https://toptanpastacim.com/Resimler/7366bca1-a9d2-48ee-bb01-009391bf8094.JPG"
"152-03","EKLER HİNDİSTAN CEVİZLİ","https://toptanpastacim.com/product/152-03-00006/ekler-hindistan-cevizli/152-03","https://toptanpastacim.com/Resimler/fb1602a1-01bf-47d8-b4e6-a8a50f94d4f0.JPG"
"152-03","EKLER KARAMEL","https://toptanpastacim.com/product/152-03-00007/ekler-karamel/152-03","https://toptanpastacim.com/Resimler/2e9f2d92-feea-4217-b6d8-12b0876986f6.JPG"
"152-03","EKLER KLASİK","https://toptanpastacim.com/product/152-03-00010/ekler-klasik/152-03","https://toptanpastacim.com/Resimler/a6f0cde5-6725-4df6-a2c4-7170718f63c7.JPG"
"152-03","EKLER KLASİK BEYAZ İ&#199;","https://toptanpastacim.com/product/152-03-00009/ekler-klasik-beyaz-ic/152-03","https://toptanpastacim.com/Resimler/da3ddf7f-3e0f-4bbf-9775-acf7b2ae55e9.JPG"
"152-03","EKLER LİMON","https://toptanpastacim.com/product/152-03-00011/ekler-limon/152-03","https://toptanpastacim.com/Resimler/a35ed264-4053-4ff9-99c6-c409f0ade3a2.JPG"
"152-03","EKLER MEYVELİ","https://toptanpastacim.com/product/152-03-00012/ekler-meyveli/152-03","https://toptanpastacim.com/Resimler/7a0a2baa-dec7-4ee5-94af-b1983b878120.JPG"
"152-03","EKLER MUZ","https://toptanpastacim.com/product/152-03-00013/ekler-muz/152-03","https://toptanpastacim.com/Resimler/1143aa77-320f-40d3-80a4-a2fa6b1683ab.JPG"
"152-03","EKLER PORTAKALLI","https://toptanpastacim.com/product/152-03-00001/ekler-portakalli/152-03","https://toptanpastacim.com/Resimler/b554df68-e4f6-4172-87b1-bb73aa46e93c.JPG"
"152-03","EKLER YER FISTIKLI","https://toptanpastacim.com/product/152-03-00015/ekler-yer-fistikli/152-03","https://toptanpastacim.com/Resimler/3443ea51-2380-4d60-ab78-dbca1def4113.jpeg"
"152-04","ANTEP FISTIKLI MUHALLEBİ","https://toptanpastacim.com/product/152-04-00018/antep-fistikli-muhallebi/152-04","https://toptanpastacim.com/Resimler/f4c0824b-7f56-4eb7-8a39-15bd39912f4f.png"
"152-04","DAMLA SAKIZLI BADEMLİ MUHALLEBİ","https://toptanpastacim.com/product/152-04-00019/damla-sakizli-bademli-muhallebi/152-04","https://toptanpastacim.com/Resimler/fe82a8eb-1fdc-4753-b9fb-84f007ee93a3.png"
"152-04","İNCİRLİ MUHALLEBİ","https://toptanpastacim.com/product/152-04-00013/incirli-muhallebi/152-04","https://toptanpastacim.com/Resimler/3f880394-6cd1-40ba-8e97-9ddbac0206dc.png"
"152-04","KAZANDİBİ","https://toptanpastacim.com/product/152-04-00016/kazandibi/152-04","https://toptanpastacim.com/Resimler/2f752b08-2f48-4fed-b1d8-7fc454a170de.png"
"152-04","KEŞK&#220;L","https://toptanpastacim.com/product/152-04-00017/keskul/152-04","https://toptanpastacim.com/Resimler/a9f3442c-5553-4ae7-a539-65989ea42b3b.png"
"152-04","KREM ŞOKOLA","https://toptanpastacim.com/product/152-04-00014/krem-sokola/152-04","https://toptanpastacim.com/Resimler/32c7dd78-01e5-475f-a8f3-dc24bcbf2402.png"
"152-04","MAGNOLYA &#199;İLEK","https://toptanpastacim.com/product/152-04-00001/magnolya-cilek/152-04","https://toptanpastacim.com/Resimler/ffe40974-8ad6-404d-9807-7dd1b6f1bf2b.png"
"152-04","MAGNOLYA MUZ","https://toptanpastacim.com/product/152-04-00002/magnolya-muz/152-04","https://toptanpastacim.com/Resimler/5b44b2a0-0a20-4094-91ec-3b4cf9abd12b.png"
"152-04","MAGNOLYA OREO","https://toptanpastacim.com/product/152-04-00003/magnolya-oreo/152-04","https://toptanpastacim.com/Resimler/7347e36a-337b-4f88-a0d4-ee301f721caf.png"
"152-04","PROFİTEROL","https://toptanpastacim.com/product/152-04-00004/profiterol/152-04","https://toptanpastacim.com/Resimler/5d89c1e9-c974-4589-bfc6-87cb0f0d7490.png"
"152-04","PROFİTEROL 500 GR.","https://toptanpastacim.com/product/152-05-00026/profiterol-500-gr-/152-04","https://toptanpastacim.com/Resimler/74d57e75-1434-414f-bd6f-771f48a64b2f.JPG"
"152-04","S&#220;TLA&#199;","https://toptanpastacim.com/product/152-04-00015/sutlac/152-04","https://toptanpastacim.com/Resimler/3bf81035-a17e-4c24-86f2-7009426f432a.png"
"152-04","TAVUK G&#214;ĞS&#220;","https://toptanpastacim.com/product/152-04-00012/tavuk-gogsu/152-04","https://toptanpastacim.com/Resimler/b5d20826-d051-4587-8b46-f669fcafa5ff.png"
"152-04","TİRAMİSU","https://toptanpastacim.com/product/152-04-00020/tiramisu/152-04","https://toptanpastacim.com/Resimler/837efa53-bdae-4675-ad8d-f31d982ae065.png"
