"index","product_name","product_url","image_url","file"
"1","ANTEP FISTIKLI MUHALLEBİ","https://toptanpastacim.com/product/152-04-00018/antep-fistikli-muhallebi/152-04","https://toptanpastacim.com/Resimler/f4c0824b-7f56-4eb7-8a39-15bd39912f4f.png","001_antep_fistikli_muhallebi_ANTEP FISTIKLI MUHALLEBİ.png"
"2","BABAROVSKİ","https://toptanpastacim.com/product/152-02-00001/babarovski/152-02","https://toptanpastacim.com/Resimler/5bbbb748-4dea-405d-9ffa-8a6260762461.jpg","002_babarovski_BABAROVSKİ.jpg"
"3","BABAROVSKİ NO 0","https://toptanpastacim.com/product/152-01-00001/babarovski-no-0/152-01","https://toptanpastacim.com/Resimler/bdea2449-882b-4152-8d7e-9c71ed0fa5b4.JPG","003_babarovski_no_0_BABAROVSKİ NO 0.jpg"
"4","BABAROVSKİ NO 1","https://toptanpastacim.com/product/152-01-00002/babarovski-no-1/152-01","https://toptanpastacim.com/Resimler/164c3d0a-43f5-492e-9c25-8b172fe39b42.JPG","004_babarovski_no_1_BABAROVSKİ NO 1.jpg"
"5","BABAROVSKİ NO 2","https://toptanpastacim.com/product/152-01-00003/babarovski-no-2/152-01","https://toptanpastacim.com/Resimler/8c9f7852-132c-4633-b60b-49f6d44f9295.JPG","005_babarovski_no_2_BABAROVSKİ NO 2.jpg"
"6","BAMBU FRAMBUAZ","https://toptanpastacim.com/product/152-02-00003/bambu-frambuaz/152-02","https://toptanpastacim.com/Resimler/775a78ce-2d75-47bb-a211-384d980f6821.jpg","006_bambu_frambuaz_BAMBU FRAMBUAZ.jpg"
"7","BÜYÜK EKLER ANTEP FISTIK","https://toptanpastacim.com/product/152-03-00018/buyuk-ekler-antep-fistik/152-03","https://toptanpastacim.com/Resimler/37753e2c-0c3d-4137-891f-ecfa35203417.jpeg","007_buyuk_ekler_antep_fistik_BÜYÜK EKLER ANTEP FISTIK.jpeg"
"8","BÜYÜK EKLER BOL ÇİKOLATALI","https://toptanpastacim.com/product/152-03-00019/buyuk-ekler-bol-cikolatali/152-03","https://toptanpastacim.com/Resimler/eeddd0a7-815d-43f7-9632-c6d54564e8e2.jpeg","008_buyuk_ekler_bol_cikolatali_BÜYÜK EKLER BOL ÇİKOLATA.jpeg"
"9","BÜYÜK EKLER ÇİLEK","https://toptanpastacim.com/product/152-03-00028/buyuk-ekler-cilek/152-03","https://toptanpastacim.com/Resimler/10d7c8bb-1cdf-4840-b59a-41472f293a35.jpeg","009_buyuk_ekler_cilek_BÜYÜK EKLER ÇİLEK.jpeg"
"10","BÜYÜK EKLER FRAMBUAZ","https://toptanpastacim.com/product/152-03-00027/buyuk-ekler-frambuaz/152-03","https://toptanpastacim.com/Resimler/1b630696-964a-4d20-b70c-90c5b33c2cf9.jpeg","010_buyuk_ekler_frambuaz_BÜYÜK EKLER FRAMBUAZ.jpeg"
"11","BÜYÜK EKLER KARAMEL","https://toptanpastacim.com/product/152-03-00025/buyuk-ekler-karamel/152-03","https://toptanpastacim.com/Resimler/021b8547-3977-4bed-80d9-9887f35abd06.jpeg","011_buyuk_ekler_karamel_BÜYÜK EKLER KARAMEL.jpeg"
"12","BÜYÜK EKLER KLASİK","https://toptanpastacim.com/product/152-03-00021/buyuk-ekler-klasik/152-03","https://toptanpastacim.com/Resimler/bf3a1c8f-f258-4784-8f16-e02a2e0b0b6c.jpeg","012_buyuk_ekler_klasik_BÜYÜK EKLER KLASİK.jpeg"
"13","BÜYÜK EKLER LİMON","https://toptanpastacim.com/product/152-03-00029/buyuk-ekler-limon/152-03","https://toptanpastacim.com/Resimler/8166bebc-4059-4c1f-81bc-8a96158f7940.jpeg","013_buyuk_ekler_limon_BÜYÜK EKLER LİMON.jpeg"
"14","BÜYÜK EKLER LOTUS","https://toptanpastacim.com/product/152-03-00020/buyuk-ekler-lotus/152-03","https://toptanpastacim.com/Resimler/c0b04f5f-79fa-499e-959e-191af43a3edc.jpeg","014_buyuk_ekler_lotus_BÜYÜK EKLER LOTUS.jpeg"
"15","BÜYÜK EKLER MUZ","https://toptanpastacim.com/product/152-03-00031/buyuk-ekler-muz/152-03","https://toptanpastacim.com/Resimler/73143437-9d7b-4238-9d3f-8455916615b5.jpeg","015_buyuk_ekler_muz_BÜYÜK EKLER MUZ.jpeg"
"16","BÜYÜK EKLER OREO","https://toptanpastacim.com/product/152-03-00022/buyuk-ekler-oreo/152-03","https://toptanpastacim.com/Resimler/c7fc8f71-8371-4fb8-9eed-02495527bf56.jpeg","016_buyuk_ekler_oreo_BÜYÜK EKLER OREO.jpeg"
"17","BÜYÜK EKLER PORTAKAL","https://toptanpastacim.com/product/152-03-00030/buyuk-ekler-portakal/152-03","https://toptanpastacim.com/Resimler/53b28649-3242-4d6d-9da4-bd51625146af.jpeg","017_buyuk_ekler_portakal_BÜYÜK EKLER PORTAKAL.jpeg"
